반,성명,통학_권역,1학년_평균등급,3학년_평균등급,등급_변화,G1_미인정결과,G1_미인정결석,G1_미인정조퇴,G1_미인정지각,G1_질병결과,G1_질병결석,G1_질병조퇴,G1_질병지각,G2_미인정결과,G2_미인정결석,G2_미인정조퇴,G2_미인정지각,G2_질병결과,G2_질병결석,G2_질병조퇴,G2_질병지각,G3_미인정결과,G3_미인정결석,G3_미인정조퇴,G3_미인정지각,G3_질병결과,G3_질병결석,G3_질병조퇴,G3_질병지각
2,N,Zone A (농어촌/근거리),7.0,7.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,O,Zone B (시내/중거리),4.5,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,Zone A (농어촌/근거리),5.0,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Q,Zone B (시내/중거리),3.5,3.5,,1,1,0,17,1,4,2,9,1,5,0,8,0,6,2,3,1,15,1,10,0,19,0,4
2,R,Zone A (농어촌/근거리),4.0,4.0,,0,0,1,0,1,11,0,7,0,0,0,0,0,6,2,4,0,1,0,0,0,20,0,2
2,S,Zone B (시내/중거리),6.5,6.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2,T,Zone A (농어촌/근거리),5.0,5.0,,0,2,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,1
2,U,Zone A (농어촌/근거리),5.0,4.5,,0,0,0,1,0,0,0,1,0,0,0,0,0,18,23,5,2,1,0,1,0,7,3,2
2,V,Zone B (시내/중거리),4.0,4.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,1
2,W,Zone A (농어촌/근거리),7.5,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,X,Zone A (농어촌/근거리),5.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Y,Zone A (농어촌/근거리),6.5,5.5,,0,0,0,6,0,1,7,0,0,1,0,0,0,0,4,1,0,1,0,0,0,3,6,0
2,Z,Zone B (시내/중거리),2.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,A,Zone D (Outside Yongin),4.0,4.0,,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,15,3,1
2,B,Zone A (농어촌/근거리),3.0,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C,Zone A (농어촌/근거리),4.0,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,D,Zone A (농어촌/근거리),4.5,4.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,8,1,0
2,E,Zone A (농어촌/근거리),5.0,5.5,,0,0,0,0,0,4,5,0,0,0,0,0,0,2,5,3,0,6,3,7,0,1,1,6
2,F,Zone A (농어촌/근거리),5.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,G,Zone A (농어촌/근거리),5.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,H,Zone B (시내/중거리),2.0,2.0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3,I,Zone A (농어촌/근거리),2.5,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,J,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,3,0,0,0,4,0,0,0,6,0,1,2,3,0,0,0,0,0,8,3,6
3,K,Zone A (농어촌/근거리),5.0,5.5,,0,0,0,0,0,2,0,4,0,0,0,0,0,2,1,4,0,0,0,0,0,7,3,4
3,L,Zone A (농어촌/근거리),6.0,6.5,,0,0,0,0,0,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0
3,M,Zone A (농어촌/근거리),6.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
